Sox17	K04495
Esd-ps	K01070
Olfr31	K04257
Ube2e2	K20217
Gm22499	K26326
Gm25328	K14280
Dusp13	K14165
Gm23502	K28310
Rps24	K02974
Gm2274	K17095
Gm24031	K26344
Arf4	K07939
Btd	K01435
Galnt15	K00710
Gm5459	K02936
Smim4	K27340
Gm24916	K14934
Sema3g	K06840
Parg	K07759
Gm23946	K14932
Ogdhl	K00164
Frmpd2	K23955
Ldb3	K24143
Ero1l	K10950
Gm24378	K14280
Socs4	K04699
Peli2	K11964
Gm25380	K14280
Gm22699	K14280
Ktn1	K17975
Ttc5	K24928
Pnp2	K03783
Ang	K27928
Tep1	K01110
Gm22354	K26310
Gm23758	K26362
Gm26328	K14280
Olfr1513	K04257
Olfr1512	K04257
Olfr1511	K04257
Olfr1510	K04257
Trac	K05683
Dad1	K12668
Rem2	K07848
Psmb5	K02737
Thtpa	K05307
Cpne6	K24525
Cbln3	K24235
Gm23593	K28398
Gm26440	K28342
Zdhhc20	K20027
Gm16261	K07342
Gm25716	K14280
Sox7	K09270
Gm26225	K26338
Kctd9	K21919
Gm24258	K26344
Synb	K24396
Gm16867	K15113
Loxl2	K00280
Gm21451	K00280
Gm24890	K28309
Gfra2	K19895
Lgi3	K19999
Nudt18	K17817
Npm2	K11277
Lcp1	K28489
Gm23622	K14280
Gm25517	K14923
Gm26251	K14926
Pcdh9	K16498
Gm23509	K14276
Gm25831	K14276
Pibf1	K16538
Gm26367	K26326
Uchl3	K05609
Rnf219	K24091
Gm24207	K14280
Gpc6	K08112
Timm8a2	K17780
Gpr18	K08410
Gm25464	K14280
Pcca	K01965
Rpl37	K02922
Gm24144	K14280
Agxt2	K00827
Cdh9	K06801
Gm25711	K26326
Gm24656	K26326
Dap	K08039
Snord123	K27138
Rpl30	K02908
Gm24523	K26362
Gm22208	K14280
Stk3	K06071
Cox6c	K02268
Gm24771	K26326
Gm22353	K14922
Gm24903	K26326
Gm25093	K26326
Gm22392	K14280
Gm23530	K26326
Ext1	K02366
Mir28c	K17366
Gm23200	K26326
Mal2	K28036
Sntb1	K24064
Has2	K00752
Zhx1	K24879
Gm22299	K14922
Gm22488	K14925
Wdyhv1	K21286
Sqle	K00511
Fam49b	K27976
Lrrc6	K19753
Kcnq3	K04928
Tg	K04344
Sla	K14735
Ly6h	K06846
Gm23747	K26326
Pycrl	K00286
Fam83h	K23931
Nrbp2	K08875
Scrt1	K09219
Rpl8	K02938
Mb	K21892
Kifc2	K10406
Apol9a	K14480
Rac2	K07860
Mfng	K05948
Baiap2l2	K23645
Maff	K09037
Kdelr3	K10949
Npcd	K25710
Cbx6	K11453
Gm24204	K14280
Gm23220	K26326
Fam83f	K23930
Gm5218	K02905
Gm22067	K14280
Pmm1	K17497
Tdg-ps	K20813
Naga	K01204
A4galt	K01988
Rnu12	K28310
Mcat	K00645
Parvg	K06275
Fbln1	K17307
Gm23517	K14277
Pkdrej	K19921
Gm22818	K14280
Panx2	K20857
Odf3b	K25636
Ncaph2	K11490
Sco2	K23755
Syt10	K19910
Acr	K01317
Kif21a	K24185
Gm25546	K26326
Gm23129	K26326
Vdr	K07438
Gm25668	K26326
Olfr288	K04257
Olfr287	K04257
Olfr286	K04257
Gm25999	K14879
Dhh	K11990
Gm22951	K14280
Aqp5	K09867
Aqp6	K09868
Gpd1	K13937
Gm25897	K14280
Atf1	K09053
Bin2	K20119
Grasp	K24053
Krt86	K07605
Gm25141	K14280
Atp5g2	K02128
Npff	K05247
Olfr15	K04257
Trap1	K20177
Sec14l5	K26544
4930451G09Rik	K25423
Mettl22	K23040
Pmm2	K17497
Gm25805	K14280
Gm23706	K27176
Gm24145	K14276
Fopnl	K16535
Efcab1	K27179
Vpreb1	K06553
Top3b	K03165
Slc7a4	K13866
Gm22129	K14280
Gm24927	K14280
Scarf2	K02183
Vpreb2	K06553
Dgcr6	K28488
Gm25777	K14935
Arvcf	K28154
Gp1bb	K06262
Klhl6	K10444
Gm49333	K22857
Eef1akmt4	K22857
Eif2b5	K03240
Abcf3	K06158
Ap2m1	K11826
Polr2h	K03016
Gm22741	K14276
Eif4a2	K03258
Gm26447	K28334
Gm24616	K26321
Gm24201	K28334
Snord2	K14870
Sst	K09371
Cldn1	K06087
Gm22672	K26326
Xxylt1	K23800
Apod	K03098
Ppp1r2	K08067
Gm24879	K26342
Gm25848	K26319
Gm26419	K26326
Gm20056	K17610
Tctex1d2	K22866
n-R5s33	K01981
Dtx3l	K06058
Ildr1	K25781
Gm25617	K26326
Cox17	K02260
Pla1a	K06128
Gm25873	K14280
Nepro	K27075
Gm4737	K01251
BC016579	K26953
Abhd10	K13702
Gm22576	K14280
Gm23513	K27151
Zbtb11	K02896
Tfg	K09292
Olfr183	K04257
Gabrr3	K05190
Pros1	K03908
Gm22769	K14280
Gm22163	K14879
Usp25	K11849
Gm25896	K14922
Gm23406	K26337
Mrps6	K02990
Cldn14	K06087
Gm25245	K14280
Gm23692	K14276
Fgfr1op	K16546
Pde10a	K18438
Gm26130	K28399
Gm15946	K02963
Gm3435	K25139
Zfp960	K09228
Zfp948	K09228
Zfp229	K09228
Gm10509	K09228
Cldn6	K06087
Abca17	K05643
Rnps1	K14325
Snord60	K14875
Gm38655	K28457
Sox8	K09270
Wdr24	K20408
Decr2	K13237
Rgs11	K16449
Gm23123	K26342
Srpk1	K15409
Slc26a8	K14705
Gm4356	K04542
Pnpla1	K16813
Tbc1d22b	K20360
Zfp811	K09228
Gm23294	K14276
Zfp870	K09228
Olfr55	K04257
Olfr239	K04257
Olfr1564	K04257
Zfp101	K09228
Pram1	K19994
Rps28	K02979
Daxx	K02308
H2-K1	K06751
Col11a2	K19721
C2	K01332
Skiv2l	K12599
Gm25744	K26303
Ly6g5b	K20005
Ly6g6f	K20006
Gm23442	K28337
Cdsn	K23457
Vars2	K01873
Gm22589	K27136
Gm25128	K27136
Gm23864	K14280
Gm25973	K28339
Znrd1	K03000
Olfr110	K04257
Olfr111	K04257
Olfr121	K04257
Gm25783	K14277
Tmem63b	K21989
Srf	K04378
Rrp36	K14795
Gnmt	K00552
2310039H08Rik	K28910
Gm22654	K14280
Zfp959	K09228
Zfp119b	K09228
Mpnd	K02738
Shd	K23697
Fsd1	K24489
Rpl36	K02920
Dus3l	K05544
Gm23264	K14280
Pcare	K24165
Gm22858	K26306
Xdh	K00008
Crim1	K24518
Vit	K09455
Gm22215	K14280
Dhx57	K13026
Gm26066	K14280
Gm24492	K14280
Gm24722	K14280
Six2	K19472
Pigf	K05287
Msh2	K08735
Gm20939	K09228
Rab18	K07910
Gm23350	K14280
Gm26244	K14276
Gm24924	K14276
Dsc2	K07601
B4galt6	K07553
Gm23207	K14280
Galnt1	K00710
Gpr17	K08404
Gm23639	K14930
n-R5s25	K01981
Gm22200	K27111
Gm26109	K27111
Reep2	K17338
Cd14	K04391
Hars2	K07560
Gm23205	K14280
Pcdhgb1	K16496
Pcdhga4	K16495
Pcdhgb2	K16496
Pcdhgb5	K16496
Pcdhgc4	K16497
Hdac3	K11404
Pcdha2	K16493
Pcdha9	K16493
Pcdha8	K16493
Pcdhgc5	K16497
Pcdhgb7	K16496
Pcdhga11	K16495
Pcdhgb6	K16496
Pcdhga5	K16495
Pcdhga6	K16495
Pcdhga7	K16495
Pcdhga3	K16495
Pcdhga10	K16495
Pcdhga9	K16495
Pcdhgb4	K16496
Pcdhga1	K16495
Pcdhgb8	K16496
Gm19774	K00730
Ap3s1	K12399
Lmnb1	K07611
Gm26038	K14280
Gm26403	K14280
Arsi	K12375
Afap1l1	K23782
Gm24384	K14280
Nars	K01893
Grp	K25744
Cidea	K25893
Gm17669	K02905
Mc5r	K04203
Tcf4	K04491
Rpl17	K02880
Gm26202	K26310
Gm23301	K26310
BC031181	K28352
Rnf165	K17821
Gm26014	K26326
Gm46629	K11368
Gm16286	K20791
Kcng2	K04901
Zadh2	K07119
Gm45871	K09228
Gm23940	K14280
Chka	K01544
Gstp3	K23790
Syt12	K19912
Cabp2	K23531
Coro1b	K13886
Ctsf	K01373
Gal3st3	K09676
Actn3	K21073
Rin1	K17638
Pacs1	K23290
Brms1	K19196
Gm6293	K00419
Ccdc85b	K16758
Pola2	K02321
Slc25a45	K15123
Men1	K14970
Gpr137	K22989
Otub1	K09602
Gm25855	K14882
Gm25894	K26296
Gm24452	K14900
Gm22680	K26298
Gm23246	K14893
Gm24453	K26297
Gm22744	K14895
Ppp1r32	K17571
Fads3	K10225
Cd6	K06456
Olfr1420	K04257
Olfr1417	K04257
Olfr1438-ps1	K04257
Gm22272	K26326
Cntf	K05420
Olfr1444	K04257
Olfr1446	K04257
Olfr1447	K04257
Olfr1489	K04257
1110059E24Rik	K29057
Gm26207	K14280
Vldlr	K20053
4430402I18Rik	K23224
Asah2	K12349
Minpp1	K03103
Fas	K00665
Rbp4	K03012
Lgi1	K25428
Tbc1d12	K24795
Tll2	K13047
Frat1	K03069
Frat2	K03096
Morn4	K25701
Cwf19l1	K24939
Gm24336	K28392
Wnt8b	K00714
Gm25482	K14280
Sema4g	K06521
Sfxn3	K23500
Arl3	K07944
Add3	K18622
Smndc1	K12839
Nrap	K24421
Vax1	K09318
Fam45a	K28414
Sfxn4	K23502
Gm22520	K26340
Gm22005	K14278
Gm23691	K14280
Gm13194	K02929
Upf2	K14327
Nudt5	K13987
Sec61a2	K10956
Gm23608	K26326
Atp5c1	K02136
Itga8	K06584
Vim	K07606
Gm25147	K14280
Msrb2	K07305
Gm23970	K14280
Nxph2	K16657
Il1f9	K05484
Arrdc1	K26228
Gm25518	K14280
Gm22572	K14280
Fam166a	K28110
Lrrc26	K28881
Traf2	K03173
C8g	K03999
Gm23969	K14867
Gm24134	K14874
Gm22879	K14874
Dbh	K00503
Sardh	K00314
Col5a1	K19721
Tsc1	K07206
Wdr34	K22868
Pkn3	K23692
Endog	K01173
Nup188	K14311
BC005624	K28609
Gm22516	K14928
Fibcd1	K27816
Gm26236	K26323
Fpgs	K01930
Gm22192	K14919
Gm25632	K14919
Pomt1	K00728
Pip5kl1	K13712
Gm23369	K14280
Dpm2	K09658
Gm24165	K26336
Lrsam1	K10641
Gm23546	K26342
Pbx3	K15610
Olfr338	K04257
Olfr344	K04257
Olfr365	K04257
Gm26127	K14280
Rpl35	K02917
Nmi	K28122
Rif1	K05255
Neb	K18267
Gm22298	K28339
Gpd2	K00036
Gm13570	K22138
Tbr1	K10174
Gm22020	K26326
Grb14	K23696
Galnt3	K00710
Gm16510	K11300
Sp5	K09195
Pdk1	K06276
Atp5g3	K02128
Gm13653	K02889
Ttc30a2	K19683
Ttc30b	K19683
Ttc30a1	K19683
Pde1a	K13755
Gm24461	K14280
Olfr1033	K04257
Olfr1055	K04257
Olfr1178	K04257
Timm10	K17777
Lrp4	K09614
Gm13770	K24963
Mybpc3	K12568
Gm23390	K14280
1110051M20Rik	K26165
Harbi1	K08331
Pex16	K13335
Ext2	K02367
Gm22313	K26326
Fjx1	K16674
Gm23731	K14280
Abtb2	K10521
Nat10	K14521
Cd59b	K04008
Rcn1	K17901
Bdnf	K04355
Bbox1	K00471
Olfr1307	K04257
Gm26505	K14276
Gm22676	K14925
Bmf	K17460
Ltk	K05118
Itpka	K00911
Mga	K12047
Jmjd7	K19219
Gm23858	K14280
Ubr1	K10625
Mfap1b	K13110
Mfap1a	K13110
Catsper2	K16890
Shf	K23697
Spata5l1	K26051
Stard7	K24141
Nphp1	K19657
Gm23187	K27176
Gm23650	K26309
Gm24451	K28339
Idh3b	K00030
4930402H24Rik	K25424
Cdc25b	K05866
Pcna	K04802
Prn	K26404
Gm22245	K14280
Pak7	K05736
Gm25583	K14280
Gm11686	K02917
Sec23b	K14006
Rin2	K20131
Xrn2	K12619
Pygb	K00688
Gm23598	K26342
Gm24868	K26326
Sdcbp2	K17254
Scrt2	K09219
Gm27343	K28308
Tpx2	K24980
Xkr7	K26811
Asxl1	K11471
Gm22334	K14879
Soga1	K27704
Gm14279	K02917
Gm23463	K14280
Gm23925	K26344
Gm24411	K26344
Gm23925	K26344
Gm25129	K26344
Gm25187	K26344
Sgk2	K13174
Ada	K01488
Stk4	K05733
Cdh22	K06812
Ddx27	K13181
Gm23201	K14907
Gm25878	K14907
Tmem189	K20656
Kcng1	K04900
Dpm1	K00721
Cbln4	K24235
Gm14439	K02900
Gm14391	K09228
Atp5e	K02135
Gm14434	K09228
Gm14308	K09228
Gm14419	K09228
Gm14322	K09228
Gm14326	K09228
Col9a3	K08131
Gm22502	K14280
Arfgap1	K12493
Gm24892	K14280
Gm22708	K14280
Gmeb2	K24505
Myt1	K06633
Mrps28	K17413
Sirpb1c	K06551
Gm23441	K26387
Gm23686	K14276
Pde7a	K18436
Gm23330	K14276
Gyg	K00750
Gm24704	K14280
Ect2	K20704
Cetn4	K25390
Spata5	K14575
Gm22043	K14276
Rab33b	K07920
Lhfp	K23893
Ccna1	K06627
Gm25132	K14280
Gm25727	K26326
Gm22784	K26361
Mab21l1	K23092
Mindy4b-ps	K22647
Rpl13-ps6	K02873
Gpr87	K08389
E130311K13Rik	K29121
Lxn	K23594
Schip1	K24833
Nmd3	K07562
Gm24150	K14280
Gm25188	K26337
Fam160a1	K26420
Gm26343	K26326
Gm23850	K14276
Mab21l2	K23092
Gm24472	K26326
Prcc	K13105
Mef2d	K09262
Rhbg	K06580
Rab25	K07906
Rit1	K22046
Gm23054	K14276
Gm24403	K26326
Gm22935	K14280
Hcn3	K04957
Clk2	K08823
Fam189b	K28655
Gm26465	K14280
Slc39a1	K14685
Dennd4b	K20163
Gm23723	K26339
Gm24185	K14280
Gm24608	K26343
S100a13	K23765
Lor	K10385
Sprr2h	K28331
Sprr2i	K28331
Rptn	K23927
Tuft1	K27192
Rfx5	K08061
Gm24920	K14919
Gm22301	K14280
Gm26361	K14276
Gm22027	K26328
Gm22581	K14923
Hsd3b6	K00070
Gm4450	K00070
Hsd3b4	K00070
Trim45	K06729
Cd2	K10151
Tshb	K05251
Pifo	K25393
Alx3	K09323
Gstm6	K00799
Gpr61	K08414
Gm23336	K26387
Gm22942	K14879
Gm25681	K14280
Slc44a3	K15282
Egf	K04357
Gm25501	K26326
Gm22682	K14280
Ostc	K25713
Dkk2	K02165
Gm23196	K14280
Gm24260	K14280
Gbp2	K20897
Gm24457	K14280
Gtf2b	K03124
Wdr63	K24722
Gm22078	K14280
Uox	K00365
Ak5	K00939
Rabggtb	K05956
Gm24494	K26302
Gm24373	K26326
Ankrd13c	K21437
Gm23941	K14280
Gm22781	K26326
Gm24125	K26326
Mos	K15631
Plag1	K19484
Gm24016	K26307
2610301B20Rik	K25226
Ccne2	K06626
Gem	K10749
Slc26a7	K13962
Gm24607	K26326
Gabrr2	K05190
Srsf12	K13165
Ankrd6	K21435
Gm22888	K27137
Gm24837	K27137
Gm23090	K27137
Gm26084	K14280
Gm26049	K14280
Arid3c	K25856
Galt	K00965
Gm20878	K16598
Gm21586	K16598
Fam214b	K28528
Gm23709	K26326
Gm25010	K28308
Fam166b	K28111
Tesk1	K08841
Shb	K23697
Col15a1	K08135
Tmem246	K26235
Olfr270	K04257
n-R5s185	K01981
Gm25053	K26326
Gm22300	K26340
Olfr267	K04257
Gm12538	K28680
Akna	K21404
Gm24448	K14280
Gm25803	K26326
Cer1	K01441
Gm25899	K14278
Focad	K27498
Cyp2j13	K07418
Cyp2j6	K07418
Usp1	K11832
Pgm1	K15779
Gm24468	K14280
Tctex1d1	K25421
Wdr78	K24723
C8a	K03997
Bsnd	K19331
Pars2	K01881
Slc1a7	K05616
Gm23354	K14280
Scp2	K15731
